"startTime";"endTime";"Aurinkovoiman tuotantoennuste - päivitys kerran vuorokaudessa"
"2024-03-31T21:00:00.000Z";"2024-03-31T21:15:00.000Z";0
"2024-03-31T21:15:00.000Z";"2024-03-31T21:30:00.000Z";0
"2024-03-31T21:30:00.000Z";"2024-03-31T21:45:00.000Z";0
"2024-03-31T21:45:00.000Z";"2024-03-31T22:00:00.000Z";0
"2024-03-31T22:00:00.000Z";"2024-03-31T22:15:00.000Z";0
"2024-03-31T22:15:00.000Z";"2024-03-31T22:30:00.000Z";0
"2024-03-31T22:30:00.000Z";"2024-03-31T22:45:00.000Z";0
"2024-03-31T22:45:00.000Z";"2024-03-31T23:00:00.000Z";0
"2024-03-31T23:00:00.000Z";"2024-03-31T23:15:00.000Z";0
"2024-03-31T23:15:00.000Z";"2024-03-31T23:30:00.000Z";0
"2024-03-31T23:30:00.000Z";"2024-03-31T23:45:00.000Z";0
"2024-03-31T23:45:00.000Z";"2024-04-01T00:00:00.000Z";0
"2024-04-01T00:00:00.000Z";"2024-04-01T00:15:00.000Z";0
"2024-04-01T00:15:00.000Z";"2024-04-01T00:30:00.000Z";0
"2024-04-01T00:30:00.000Z";"2024-04-01T00:45:00.000Z";0
"2024-04-01T00:45:00.000Z";"2024-04-01T01:00:00.000Z";0
"2024-04-01T01:00:00.000Z";"2024-04-01T01:15:00.000Z";0
"2024-04-01T01:15:00.000Z";"2024-04-01T01:30:00.000Z";0
"2024-04-01T01:30:00.000Z";"2024-04-01T01:45:00.000Z";0
"2024-04-01T01:45:00.000Z";"2024-04-01T02:00:00.000Z";0
"2024-04-01T02:00:00.000Z";"2024-04-01T02:15:00.000Z";0
"2024-04-01T02:15:00.000Z";"2024-04-01T02:30:00.000Z";0
"2024-04-01T02:30:00.000Z";"2024-04-01T02:45:00.000Z";0
"2024-04-01T02:45:00.000Z";"2024-04-01T03:00:00.000Z";0.2
"2024-04-01T03:00:00.000Z";"2024-04-01T03:15:00.000Z";0
"2024-04-01T03:15:00.000Z";"2024-04-01T03:30:00.000Z";0
"2024-04-01T03:30:00.000Z";"2024-04-01T03:45:00.000Z";0
"2024-04-01T03:45:00.000Z";"2024-04-01T04:00:00.000Z";0.6
"2024-04-01T04:00:00.000Z";"2024-04-01T04:15:00.000Z";3.1
"2024-04-01T04:15:00.000Z";"2024-04-01T04:30:00.000Z";7.2
"2024-04-01T04:30:00.000Z";"2024-04-01T04:45:00.000Z";11.3
"2024-04-01T04:45:00.000Z";"2024-04-01T05:00:00.000Z";16
"2024-04-01T05:00:00.000Z";"2024-04-01T05:15:00.000Z";25.2
"2024-04-01T05:15:00.000Z";"2024-04-01T05:30:00.000Z";38.6
"2024-04-01T05:30:00.000Z";"2024-04-01T05:45:00.000Z";49.5
"2024-04-01T05:45:00.000Z";"2024-04-01T06:00:00.000Z";59.4
"2024-04-01T06:00:00.000Z";"2024-04-01T06:15:00.000Z";70.6
"2024-04-01T06:15:00.000Z";"2024-04-01T06:30:00.000Z";82.7
"2024-04-01T06:30:00.000Z";"2024-04-01T06:45:00.000Z";94.1
"2024-04-01T06:45:00.000Z";"2024-04-01T07:00:00.000Z";104.8
"2024-04-01T07:00:00.000Z";"2024-04-01T07:15:00.000Z";116
"2024-04-01T07:15:00.000Z";"2024-04-01T07:30:00.000Z";128.4
"2024-04-01T07:30:00.000Z";"2024-04-01T07:45:00.000Z";138.6
"2024-04-01T07:45:00.000Z";"2024-04-01T08:00:00.000Z";147.4
"2024-04-01T08:00:00.000Z";"2024-04-01T08:15:00.000Z";154.9
"2024-04-01T08:15:00.000Z";"2024-04-01T08:30:00.000Z";160.1
"2024-04-01T08:30:00.000Z";"2024-04-01T08:45:00.000Z";166.4
"2024-04-01T08:45:00.000Z";"2024-04-01T09:00:00.000Z";172.9
"2024-04-01T09:00:00.000Z";"2024-04-01T09:15:00.000Z";180.1
"2024-04-01T09:15:00.000Z";"2024-04-01T09:30:00.000Z";189.6
"2024-04-01T09:30:00.000Z";"2024-04-01T09:45:00.000Z";195
"2024-04-01T09:45:00.000Z";"2024-04-01T10:00:00.000Z";198.1
"2024-04-01T10:00:00.000Z";"2024-04-01T10:15:00.000Z";198.3
